"","marca_temporal","entidad","cargo","nombre","oficina","asuntos_ran","asuntos_pa","asuntos_insus","asuntos_conavi","apertura_ran","apertura_pa","apertura_insus","apertura_conavi","com_ran","com_pa","com_insus","com_conavi","atencion_ran","atencion_pa","atencion_insus","atencion_conavi","pub_ran","pub_pa","pub_insus","pub_conavi","desem_ran","desem_pa","desem_insus","desemp_conavi","colab_ran","colab_pa","colab_insus","colab_conabi","vicios_ran","vicios_pa","vicios_insus","vicios_conavi","observaciones "
"19","15/10/2021 15:06","Yucatán","Titular de la Oficina de Representación","Javier Flores Soria","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Consultar los registros agrarios respecto a peticiones de ciudadanía acerca de certeza jurídica de sus inmuebles","Participación en juicios agrarios. Participación en las asambleas ejidales. Reuniones de trabajo interinstitucional","Certeza de los inmuebles que son solicitados por particulares o por municipios para conocer su origen y su situación jurídica","Por el momento ni guna",1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,"","","","","LA COMUNICACIÓN INTERINSTITUCIONAL CON LAS DEPENDENCIAS DEL RAMO ES INIGUALABLE. TENEMOS COMUNICACIÓN ABIERTA Y ENTENDIMIENTO TOTAL DE LOS ASUNTOS QUE SE LLEVAN A CABO POR EL SECTOR INCLUYENDO EL TREN MAYA"
"20","15/10/2021 14:22","Guanajuato","Titular de la Oficina de Representación","Luis Eduardo Delgado Aguiñaga","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Trabajos técnicos informativos, denuncias de excedencias, solicitud de constancias y consulta de archivo. Mesas agrarias. Bancos de Bienestar.","Asuntos COSOMER, atención a núcleos de población y mesas agrarias. Bancos del Bienestar.","Procedimientos expropiatorios donde INSUS es autoridad promovente. Mesas agrarias. Bancos del Bienestar.","Actualmente ninguno.",1,1,1,NA,1,1,1,NA,0.75,1,1,NA,0.5,1,NA,NA,1,1,1,NA,0.75,1,0.75,NA,"Uso de intermediarios para la agenda de citas, Uso de intermediarios para la atención de trámites","","","","Existen rumores de vicios respecto a los servicios que presta el RAN, no obstante no pudimos corroborarlos."
"21","15/10/2021 13:50","Nayarit","Titular de la Oficina de Representación","Carlos Francisco Aguado Rivas","Oficina de Representación del Registro Agrario Nacional, Delegación estatal del Instituto Nacional del Suelo Sustentable","Trabajos Técnicos, Vigencia de Derechos, Asuntos con Predios de Regimen Social, trabajos de Ejecución, entre otros","Asuntos con Predios de Regimen Social, apoyo con validación de información de carácter Ejidal y/o Comunal","Regularización de predios Intervenidos (Bahía de Banderas)","canalizar gestiones referentes al apoyo a la vivienda ",1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,NA,1,1,1,0.5,1,1,1,0.75,"","","","",""
"22","15/10/2021 13:43","Jalisco","Subdelegada/o de Desarrollo Urbano","SAHIK ALARCÓN ESPARZA","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Trabajos técnicos, procedimientos expropiatorios y asuntos de COSOMER","Asuntos de COSOMER, expropiaciones, Bancos de Bienestar y rezago agrario","Asuntos de Programa de Mejoramiento Urbano y Bancos de Bienestar","No hay relación",0.75,1,1,NA,0.75,1,1,NA,0.75,1,1,NA,0.5,1,1,NA,0.5,1,1,NA,0.5,1,1,NA,"","","","","Se han hecho algunos comentarios en los que se ventila que el sistema de citas en el Registro Agrario Nacional no opera con regularidad, por lo que se recomienda un análisis para que este sistema no este sujeto a la discrecionalidad de los servidores públicos."
"23","15/10/2021 13:29","Durango","Titular de la Oficina de Representación","Francisco Santillán de la Torre","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Trabajos Técnicos Informativos, Excedencias, Bancos del Bienestar, Consultas Registrales y Catastrales para Terrenos Nacionales, Mesas Agrarias, Programa RRAJA","Bancos del Bienestar, Mesas Agrarias, Programa RRAJA, coadyuvancia en Conflictos Agrarios ","Bancos del Bienestar, Mesas Agrarias, entrega de Titulos de Propiedad","N/A",1,1,1,NA,0.75,1,1,NA,1,1,1,NA,1,1,1,NA,0.5,0.75,0.75,NA,0.75,1,1,NA,"Uso de intermediarios para la atención de trámites, Cobro para la atención de trámites, Cobro para gestionar servicios, Observación de influyentismo o usuarios preferentes","","","","En la Oficina estatal del RAN en Durango casos graves de corrupción, tráfico de influencias, nepotismo "
"24","15/10/2021 12:34","Tamaulipas","Titular de la Oficina de Representación","Luis Armando Cortázar Domínguez","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","NCPE, AMPLIACIONES, DOTACIONES, TRABAJOS TECNICOS, BANCOS DEL BIENESTAR, MESA AGRARIA","Juicios, mesa Agraria, bancos del bienestar, compartir información","Bancos del bienestar, PMU 2019","N/A",0.75,1,1,NA,0.75,1,1,0.25,1,1,1,0.25,0.75,0.75,0.75,0.25,0.75,1,1,NA,1,1,1,0.25,"","","","","Con la CONAVO no se tiene relación"
"25","14/10/2021 16:42","San Luis Potosí","Titular de la Oficina de Representación","MARIA FERNANDA SERRANO SOTO ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","ASUNTOS DE MESA AGRARIA, TRABAJOS TECNICOS, SENTENCIAS DEL TRIBUNAL, ATENCION A LA CIUDADANIA, EXPROPIACIONES, INSCRIPCIONES DE TEMAS CON COLONIAS AGRICOLAS ","ASUNTOS DE MESA AGRARIA, SENTENCIAS DEL TRIBUNAL, ATENCION A LA CIUDADANIA, ASAMBLEAS CON COLONIAS AGRICOLAS, TEMAS PRIORITARIOS, COSOMER, MESAS DE TRABAJA CON ORGANIZACIONES ","ACUERDOS DE MESAS AGRARIAS, ATENCION CIUDADANA, EXPROPIACIONES ","NO APLICA",0.75,1,1,NA,0.5,0.5,0.75,NA,0.75,0.75,1,NA,0.5,0.75,1,NA,0.5,0.5,0.75,NA,0.75,0.5,0.75,NA,"","","","","NO TENEMOS CONOCIMIENOT DE VICIOS DE LAS OR HASTA EL MOMENTO, SIN EMBARGO, DEL RAN Y PA SI TENEMOS RECLAMOS DE LA CIUDADANIA DE FALTA DE ATENCIÓN PRONTA, Y FALTA DE EMPATIA Y ACTITUD DE SERVICIO FRENTE A LA CIUDADANIA QUE VIENE A BUSCARLOS"
"26","14/10/2021 13:43","Puebla","Titular de la Oficina de Representación","Antonio Jesús Aguirre Sánchez ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","mesas agrarias, con-coe, bancos de bienestar.","mesas agrarias, con-coe, bancos de bienestar","mesas agrarias, bancos de bienstar.","Ninguno",0.75,0.75,1,NA,1,1,1,NA,1,1,1,NA,0.75,0.75,1,NA,1,1,1,NA,1,1,1,NA,"","","","","El sector agrario en Puebla trabaja coordinado. "
"27","13/10/2021 15:32","Nuevo Leon","Titular de la Oficina de Representación","EVERARDO GARZA GUERRA","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","TRABAJO TÉCNICO Y PERITAJE DE PUERTO CARRETAS EXP 664-2010","MESA AGRARIA Y REGULARIZACIÓN DE LAS COLONIAS PARA REALIZAR ASAMBLEAS","MESA AGRARIA Y REGULARIZACIÓN DE PREDIO EMILIANO ZAPATA ","",0.75,1,1,NA,1,1,1,NA,0.75,1,1,NA,0.5,1,1,NA,1,1,1,NA,1,1,1,NA,"","","","","NO TENEMOS CONOCIMIETO DE NINGUN VICIO "
"28","13/10/2021 14:57","Querétaro","Titular de la Oficina de Representación","David Arón Salinas Fernández","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Itinerencias para el Levantamiento de Listas de Sucesión, Bancos de Bienestar, Mesa Agraria, Programa de Regularización y Registro de Actos Jurídicos (RRAJA), atención de usuarios y canalizarlos al RAN.","Bancos de Bienestar, Mesa Agraria, Programa de Regularización y Registro de Actos Jurídicos (RRAJA).","Mesa Agraria, atención a usuarios y dirigirlos al INSUS.","Atención a municipios en cuanto a peticiones o solicitudes para dar seguimiento ante CONAVI.",0.75,1,1,NA,1,1,1,NA,0.75,1,1,NA,0.5,1,1,NA,NA,0.75,0.75,NA,1,1,1,NA,"Uso de intermediarios para la agenda de citas, Uso de intermediarios para la atención de trámites, Cobro para la atención de trámites, Cobro para gestionar servicios, Observación de influyentismo o usuarios preferentes","Observación de influyentismo o usuarios preferentes","","","El RAN tiene mucho rezago en la expedición de títulos y demás trámites; tiene poco personal para atender la demanda de trámites; falta de personal capacitado en cuestiones técnicas."
"29","13/10/2021 11:26","Hidalgo","Titular de la Oficina de Representación","RAUL ANGEL OTERO DIAZ","Oficina de Representación del Registro Agrario Nacional, Oficina de Representación de la Procuraduría Agraria, Delegación estatal del Instituto Nacional del Suelo Sustentable","Levantamientos topograficos, solicitud información, mediciones, copia certificadas de planos, investigación de antecedentes, ubicación de predios","Juicios Agrarios, ejecuciones, resoluciones, cosomer y bancos del bienestar","expropiaciones","n/a",0.75,0.75,0.75,NA,1,1,1,NA,1,1,1,NA,0.5,0.75,0.75,NA,1,1,1,NA,1,1,1,NA,"","","","","Es importante incluir en este formulario a la DGOPR, ya que tenemos igual relacion con temas de la OR, y con muchos pendientes y problemas en la atención oportuna "
